Intervalo;Cantidad Agentes Únicos;Cantidad Agentes Simultáneos;Grupo;Login Id;Agente;LogIn;Internas Entrantes No Atendidas;Internas Entrantes Atendidas;Internas Salientes No Atendidas;Internas Salientes Atendidas;Entrantes No Atendidas;Entrantes Atendidas;Salientes No Atendidas;Salientes Atendidas;Discador No Atendidas;Discador Atendidas;Transfer In;Transfer Out;Unstaffed;Avail;Preview;Dial;Ring;Connect;Hold;ACW;Not Ready;Break;Lunch;Coaching;Administrativo;Baño;Llamada_Manual;Tipo de Break 6;Tipo de Break 7;Tipo de Break 8;Tipo de Break 9;Auxiliar Total;Auxiliar %;Tiempo Real de Logueo;Utilización;Connect % Real;Ring % Real;Avail % Real;AHT;ATT;Avail Count;Hold Count;Not Ready Count;Avail Max;Hold Max;Not Ready Max;Talking Time Internas Entrantes;Talking Time Internas Salientes;Tipificación Otro;Tipificación Exitoso;Tipificación No Exitoso;Tipificación No Efectivo;Tipificación Neutro;FechaRango;CE;%CE;Exitos / CE;Exitos por Hora Real;idAgente;idGrupo
19/2/2025 10:30:00;;;Mendoza1;mza39;MZA 39;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";9;"0";"0";"0";163;"0";2;1;1320;"0";314;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";1800;"0,908467222222222";"0,733472777777778";"0,000539444444444445";"0,0903605555555556";181,888888888889;146,666666666667;9;"0";"0";41;"0";"0";"0";"0";"0";9;"0";"0";"0";;9;1;1;18;2832;
19/2/2025 10:30:00;;;Mendoza1;mza4;MZA 4;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";24;"0";"0";"0";417;"0";5;3;785;"0";588;"0";"0";"0";"0";"0";3;"0";"0";"0";"0";"0";3;"0,00151055555555556";1797;"0,764969974088637";"0,436513266428566";"0,00145219361913913";"0,23213732298956";57,5;32,7083333333333;25;"0";"0";34;"0";"0";"0";"0";"0";6;18;"0";"0";;24;1;"0,25";12,0200333889816;2215;
19/2/2025 10:30:00;;;Mendoza1;mza40;MZA 40;1800;"0";"0";"0";"0";"0";"0";"0";3;"0";24;"0";"0";"0";266;"0";8;81;828;"0";511;"0";106;"0";"0";"0";"0";"0";"0";"0";"0";"0";106;"0,05872";1694;"0,837737501652596";"0,488662011067671";"0,0477647458779534";"0,157253952065273";52,8888888888889;30,6666666666667;27;"0";"0";35;"0";"0";"0";"0";"0";7;21;"0";"0";;28;1;"0,25";14,8760330578512;2833;
19/2/2025 10:30:00;;;Mendoza1;mza6;MZA 6;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";29;"0";"0";"0";445;"0";6;3;599;"0";743;"0";4;"0";"0";"0";"0";"0";"0";"0";"0";"0";4;"0,002205";1796;"0,748974822817646";"0,333448030685439";"0,00159685439727933";"0,247690045439082";46,5862068965517;20,6551724137931;30;"0";"0";38;"0";"0";"0";"0";"0";"0";27;"0";"0";;27;1;"0";"0";2217;
19/2/2025 10:30:00;;;Mendoza1;mza7;MZA 7;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";15;"0";"0";"0";181;"0";3;2;808;"0";437;"0";370;"0";"0";"0";"0";"0";"0";"0";"0";"0";370;"0,205471666666667";1430;"0,8712324782488";"0,564814484624351";"0,00111386839571486";"0,12651671047323";83,2666666666667;53,8666666666667;16;"0";"0";29;"0";"0";"0";"0";"0";5;9;"0";"0";;14;1;"0,357142857142857";12,5874125874126;2218;
19/2/2025 10:30:00;;;Mendoza1;mza8;MZA 8;1238;"0";"0";"0";"0";"0";"0";"0";"0";"0";25;"0";"0";562;214;"0";5;3;614;"0";213;146;43;"0";"0";"0";"0";"0";"0";"0";"0";"0";43;"0,0344079523042728";1050;"0,790943269668681";"0,585178388699286";"0,00250104329234481";"0,203890765862331";33,44;24,56;27;"0";2;31;"0";136;"0";"0";"0";7;17;"0";"0";;24;1;"0,291666666666667";24;2219;
19/2/2025 10:30:00;;;Mendoza1;mza9;MZA 9;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";16;"0";"0";"0";158;"0";3;2;347;"0";931;"0";359;"0";"0";"0";"0";"0";"0";"0";"0";"0";359;"0,199318888888889";1441;"0,887871853546911";"0,241061429643928";"0,00106367772993271";"0,109807899663203";80,1875;21,6875;19;"0";"0";33;"0";"0";"0";"0";"0";2;13;"0";"0";;15;1;"0,133333333333333";4,99653018736988;2220;
19/2/2025 11:00:00;;;Mendoza1;mza1;MZA 1;1784;"0";"0";"0";"0";"0";"0";"0";"0";"0";4;"0";"0";16;64;"0";1;"0";1298;"0";29;"0";392;"0";"0";"0";"0";"0";"0";"0";"0";"0";392;"0,219596878815843";1392;"0,953470963533529";"0,932497408388416";"0,000210489866672989";"0,0459205555208331";332;324,5;5;"0";"0";31;"0";"0";"0";"0";"0";1;3;"0";"0";;4;1;"0,25";2,58620689655172;2212;
19/2/2025 11:00:00;;;Mendoza1;mza2;MZA 2;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";20;"0";"0";"0";329;"0";4;2;384;"0";720;"0";361;"0";"0";"0";"0";"0";"0";"0";"0";"0";361;"0,200407777777778";1439;"0,768381244328706";"0,266478190966784";"0,0013465196843391";"0,228601245357008";55,5;19,2;22;"0";"0";62;"0";"0";"0";"0";"0";10;11;"0";"0";;21;1;"0,476190476190476";25,0173731758165;2213;
19/2/2025 11:00:00;;;Mendoza1;mza23;MZA 23;1004;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";84;606;"0";"0";"0";"0";"0";"0";398;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";606;"0";"0";"0";1;"0";"0";1;"0";5;319;"0";233;"0";"0";"0";"0";"0";"0";"0";;"0";"0";"0";"0";2571;
19/2/2025 11:00:00;;;Mendoza1;mza25;MZA 25;870;"0";"0";"0";"0";"0";"0";"0";"0";"0";16;"0";"0";"0";313;"0";4;2;161;"0";261;15;115;"0";"0";"0";"0";"0";"0";"0";"0";"0";115;"0,131764305419954";740;"0,572607693326379";"0,21773389295936";"0,00215265034093765";"0,422654584077685";26,6875;10,0625;17;"0";1;68;"0";15;"0";"0";"0";4;12;"0";"0";;16;1;"0,25";19,4594594594595;2573;
19/2/2025 11:00:00;;;Mendoza1;mza28;MZA 28;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";18;"0";"0";"0";196;"0";4;2;807;"0";301;"0";491;"0";"0";"0";"0";"0";"0";"0";"0";"0";491;"0,272542777777778";1309;"0,847554991778822";"0,616670854261763";"0,00132272000720928";"0,149509364048134";61,8888888888889;44,8333333333333;19;"0";"0";30;"0";"0";"0";"0";"0";9;9;"0";"0";;18;1;"0,5";24,7517188693659;2881;
19/2/2025 11:00:00;;;Mendoza1;mza3;MZA 3;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";26;"0";"0";"0";378;"0";6;3;555;"0";858;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";1800;"0,786498333333333";"0,308242777777778";"0,00153944444444444";"0,210255";54,6923076923077;21,3461538461538;25;"0";"0";72;"0";"0";"0";"0";"0";24;1;"0";"0";;25;1;"0,96";48;2214;
19/2/2025 11:00:00;;;Mendoza1;mza32;MZA 32;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";50;"0";"0";"0";571;"0";11;5;716;"0";497;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";1800;"0,676443888888889";"0,397672777777778";"0,00268388888888889";"0,317376111111111";24,58;14,32;50;"0";"0";49;"0";"0";"0";"0";"0";35;16;"0";"0";;51;1;"0,686274509803922";70;2580;
19/2/2025 11:00:00;;;Mendoza1;mza39;MZA 39;1800;"0";"0";"0";"0";"0";"0";"0";"0";1;30;"0";"0";"0";511;"0";7;3;679;"0";600;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";1800;"0,712178888888889";"0,377064444444444";"0,00170944444444444";"0,284164444444444";42,9666666666667;22,6333333333333;31;"0";"0";52;"0";"0";"0";"0";"0";28;3;"0";"0";;31;1;"0,903225806451613";56;2832;
19/2/2025 11:00:00;;;Mendoza1;mza4;MZA 4;1800;"0";"0";"0";"0";"0";"0";"0";1;"0";16;"0";"0";"0";257;"0";5;30;622;"0";822;"0";"0";"0";"0";"0";"0";65;"0";"0";"0";"0";65;"0,0359672222222222";1735;"0,849356205615415";"0,358662309199952";"0,0170372261431867";"0,148032656796478";86,9411764705882;36,5882352941176;18;"0";"0";39;"0";"0";"0";"0";"0";6;12;"0";"0";;18;1;"0,333333333333333";12,4495677233429;2215;
19/2/2025 11:00:00;;;Mendoza1;mza40;MZA 40;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";27;"0";"0";"0";349;"0";7;2;805;"0";636;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";1800;"0,801995";"0,447267777777778";"0,00136222222222222";"0,194054444444444";53,7407407407407;29,8148148148148;27;"0";"0";72;"0";"0";"0";"0";"0";10;16;"0";"0";;26;1;"0,384615384615385";20;2833;
19/2/2025 11:00:00;;;Mendoza1;mza6;MZA 6;1800;"0";"0";"0";"0";"0";"0";"0";2;"0";17;"0";"0";"0";181;"0";13;23;430;"0";621;"0";532;"0";"0";"0";"0";"0";"0";"0";"0";"0";532;"0,295283333333333";1268;"0,847353152173056";"0,338984934843791";"0,01851256218023";"0,142730332915514";57,2105263157895;22,6315789473684;20;"0";"0";31;"0";"0";"0";"0";"0";"0";17;"0";"0";;17;1;"0";"0";2217;
19/2/2025 11:00:00;;;Mendoza1;mza7;MZA 7;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";16;"0";"0";"0";279;"0";4;2;1024;"0";344;"0";147;"0";"0";"0";"0";"0";"0";"0";"0";"0";147;"0,0817761111111111";1653;"0,828727319589812";"0,619600763067347";"0,000954136699897084";"0,169087907028242";85,8125;64;20;"0";"0";47;"0";"0";"0";"0";"0";4;10;"0";"0";;14;1;"0,285714285714286";8,71143375680581;2218;
19/2/2025 11:00:00;;;Mendoza1;mza8;MZA 8;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";21;"0";"0";"0";415;"0";5;2;912;"0";401;"0";65;"0";"0";"0";"0";"0";"0";"0";"0";"0";65;"0,0362161111111111";1735;"0,758205360699235";"0,525875729402223";"0,00115171047451279";"0,239001827864822";62,8571428571429;43,4285714285714;22;"0";"0";55;"0";"0";"0";"0";"0";9;13;"0";"0";;22;1;"0,409090909090909";18,6743515850144;2219;
19/2/2025 11:00:00;;;Mendoza1;mza9;MZA 9;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";11;"0";"0";"0";183;"0";2;1;556;"0";744;2;311;"0";"0";"0";"0";"0";"0";"0";"0";"0";311;"0,172943333333333";1487;"0,875143011841145";"0,373761152569505";"0,000820573527087334";"0,123260232787293";118,545454545455;50,5454545454545;14;"0";1;51;"0";2;"0";"0";"0";1;10;"0";"0";;11;1;"0,0909090909090909";2,42098184263618;2220;
19/2/2025 11:30:00;;;Mendoza1;mza1;MZA 1;10;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";1790;2;"0";"0";"0";"0";"0";"0";8;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";2;"0";"0";"0";1;"0";"0";"0";"0";1;"0";"0";8;"0";"0";"0";"0";"0";"0";"0";;"0";"0";"0";"0";2212;
19/2/2025 11:30:00;;;Mendoza1;mza2;MZA 2;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";1;"0";"0";"0";116;"0";"0";"0";20;"0";8;"0";1656;"0";"0";"0";"0";"0";"0";"0";"0";"0";1656;"0,920162777777778";144;"0,191716478668402";"0,13865017013785";"0,000869825408643977";"0,806870924867961";28;20;3;"0";"0";71;"0";"0";"0";"0";"0";1;"0";"0";"0";;1;1;1;25;2213;
19/2/2025 11:30:00;;;Mendoza1;mza23;MZA 23;358;"0";"0";"0";"0";"0";"0";"0";"0";"0";1;"0";"0";1741;82;"0";"0";"0";23;"0";67;185;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";173;"0,522194283071765";"0,132235035694673";"0,000543368305442354";"0,476632272609035";91;23;2;"0";1;370;"0";185;"0";"0";"0";"0";"0";"0";"0";;"0";"0";"0";"0";2571;
19/2/2025 11:30:00;;;Mendoza1;mza25;MZA 25;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";2;"0";"0";"0";206;"0";"0";"0";79;"0";17;"0";1497;"0";"0";"0";"0";"0";"0";"0";"0";"0";1497;"0,831489444444444";303;"0,318364494146427";"0,260108994161263";"0,000665965534635153";"0,680343137093291";48,5;39,5;3;"0";"0";65;"0";"0";"0";"0";"0";1;1;"0";"0";;2;1;"0,5";11,8811881188119;2573;
19/2/2025 11:30:00;;;Mendoza1;mza28;MZA 28;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";1;"0";"0";"0";119;"0";"0";"0";125;"0";19;2;1535;"0";"0";"0";"0";"0";"0";"0";"0";"0";1535;"0,852662777777778";264;"0,54703945121905";"0,474662892785868";"0,000356646911968919";"0,452072725617113";144;125;3;"0";1;63;"0";2;"0";"0";"0";2;"0";"0";"0";;2;1;1;27,2727272727273;2881;
19/2/2025 11:30:00;;;Mendoza1;mza3;MZA 3;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";2;"0";"0";"0";129;"0";"0";"0";21;"0";46;"0";1603;"0";"0";"0";"0";"0";"0";"0";"0";"0";1603;"0,890681111111111";197;"0,344384928903209";"0,108688139693252";"0,000635246526471993";"0,653165560490715";34;10,5;3;"0";"0";60;"0";"0";"0";"0";"0";3;"0";"0";"0";;3;1;1;54,8223350253807;2214;
19/2/2025 11:30:00;;;Mendoza1;mza32;MZA 32;1800;"0";"0";"0";"0";"0";"0";"0";1;"0";1;"0";"0";"0";68;"0";1;7;352;"0";3;"0";1368;"0";"0";"0";"0";"0";"0";"0";"0";"0";1368;"0,760041666666667";432;"0,83956242403195";"0,814562713434045";"0,0170029519013718";"0,157256468136829";182;176;2;"0";"0";63;"0";"0";"0";"0";"0";2;"0";"0";"0";;2;1;1;16,6666666666667;2580;
19/2/2025 11:30:00;;;Mendoza1;mza39;MZA 39;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";3;"0";"0";"0";226;"0";1;"0";39;"0";75;"0";1459;"0";"0";"0";"0";"0";"0";"0";"0";"0";1459;"0,810343333333333";341;"0,336444217914243";"0,114850812286529";"0,000872922415358748";"0,66181872506459";38,3333333333333;13;4;"0";"0";80;"0";"0";"0";"0";"0";2;1;"0";"0";;3;1;"0,666666666666667";21,1143695014663;2832;
19/2/2025 11:30:00;;;Mendoza1;mza4;MZA 4;264;"0";"0";"0";"0";"0";"0";"0";"0";"0";3;"0";"0";1536;149;"0";1;"0";39;"0";31;12;3;"0";"0";"0";"0";29;"0";"0";"0";"0";32;"0,12197453679115";219;"0,319018740845186";"0,175831747639712";"0,00135525469205602";"0,678622112098272";23,3333333333333;13;4;"0";1;60;"0";12;"0";"0";"0";1;1;"0";"0";;2;1;"0,5";16,4383561643836;2215;
19/2/2025 11:30:00;;;Mendoza1;mza40;MZA 40;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";3;"0";"0";"0";213;"0";1;"0";52;"0";68;"0";1467;"0";"0";"0";"0";"0";"0";"0";"0";"0";1467;"0,814925555555556";333;"0,359263839776186";"0,155604051222631";"0,000936560062917625";"0,638625898287176";40;17,3333333333333;4;"0";"0";72;"0";"0";"0";"0";"0";1;2;"0";"0";;3;1;"0,333333333333333";10,8108108108108;2833;
